Target,x_axis,y_axis,Q1,Q2,Q3,Q4,Q5,Q6,persentage,City,State,Manager
50.06866665,3.514099551,3.814722129,2.491561632,3.290108951,2.65663625,4.384014405,3.880001221,4.38227485,128.9117,Mumbai,Maharashtra,A
94.58143864,3.989745781,2.189245277,4.333109531,3.323160497,4.679006317,4.57124546,3.701742607,3.330210273,197.6012,GandthiNagar,Gujrat,M
86.92434462,4.11363567,4.036194952,4.558885464,4.507797479,4.3259682,2.670003357,4.361400189,4.257759331,184.9300,GandthiNagar,Gujrat,C
77.15384381,2.912549211,3.967162084,2.733726005,2.079927976,2.408703879,2.750755333,3.948850978,3.553331095,114.9449,Delhi,Delhi(UP),G
94.99038667,3.266212958,3.108829005,3.029267251,2.577532273,2.97195349,3.268776513,3.643696402,4.10605182,57.3061,Mumbai,Maharashtra,M
79.98443556,3.564104129,3.329752495,4.308023316,2.384990997,3.255958739,4.384746849,3.131351665,3.919553209,182.7280,gurugram,UP,G
72.26325266,3.750648518,3.880184332,4.691732536,2.801660207,3.18344676,4.430524613,2.428296762,4.968230232,174.7627,Pune,Maharashtra,I
90.3317362,3.281517991,2.6367687,3.997192297,2.719351787,3.361980041,2.795800653,2.540452284,4.274330882,141.3541,gurugram,UP,H
66.3350322,3.611758782,3.501419111,3.351908933,3.235541856,4.874111148,4.672322764,2.889004181,2.647663808,195.7152,Pune,Maharashtra,M
77.94885098,3.102557451,3.930082095,2.916562395,2.659199805,2.731345561,3.271523179,4.910458693,2.126255074,148.4817,Mumbai,Maharashtra,O
58.47956786,3.299310282,2.798272652,2.849543748,4.763420515,2.683187353,2.701590014,2.526535844,4.271584216,82.9051,Pune,Maharashtra,B
93.01431318,3.518326365,3.567247536,3.297341838,4.176000244,3.955992309,4.017242958,2.182287057,3.481093783,105.6520,Pune,Maharashtra,G
69.30600909,3.214545122,2.130375072,2.182012391,2.850276193,4.343089084,3.439619129,2.724478896,3.747795038,171.6544,Delhi,Delhi(UP),I
50.92471084,3.806039613,2.358623005,3.738181707,3.005279702,4.733664968,4.725333415,3.421948912,3.211828974,58.9450,Pune,Maharashtra,J
99.06308176,3.633991516,4.836756493,3.017731254,2.128727073,4.543961913,4.549913022,3.787804804,3.775811029,102.1638,Pune,Maharashtra,N
77.20572527,3.160847804,4.664540544,4.799218726,2.990539262,2.462630085,2.915555284,3.423780023,2.373363445,149.3515,Pune,Maharashtra,O
95.49241615,2.978804895,3.643971068,2.378032777,3.475966674,2.32923368,2.379497665,4.744193854,2.565904721,175.9301,gurugram,UP,O
96.33777886,3.345149083,3.071382794,3.469100009,3.806665242,3.694692831,2.703604236,4.031067843,2.365764336,120.8090,Pune,Maharashtra,N
60.1596118,3.898693808,2.928373058,3.772148808,4.736320078,4.550553911,3.718314158,3.690847499,2.923978393,50.2243,Mumbai,Maharashtra,I
94.19232765,3.574175237,3.729026154,4.536362804,3.971922971,2.725119785,2.152714621,3.704672384,4.354258858,181.0389,Delhi,Delhi(UP),J
66.84469131,4.138950774,2.34397412,3.562578204,3.74816126,4.414227729,4.283211768,4.968321787,3.857203894,72.6508,Mumbai,Maharashtra,J
95.90746788,3.856624042,4.554490799,3.39558092,2.552354503,3.104342784,4.866695151,4.370464187,4.850306711,96.9680,Delhi,Delhi(UP),H
78.86593219,3.659413434,4.93856624,3.845759453,2.828302866,3.651844844,4.332834864,4.939756462,2.357982116,97.6684,gurugram,UP,D
60.93630787,3.509277627,4.694021424,4.321848201,2.466292306,4.349223304,3.978057192,2.077913755,3.862331004,186.2529,Pune,Maharashtra,C
72.72865993,3.974364452,4.344096194,2.626697592,3.372417371,4.344828639,4.319376202,4.660695212,4.522171697,138.5159,Mumbai,Maharashtra,H
85.76769311,4.064104129,2.226691488,4.741264077,4.794549394,3.638294626,2.190435499,4.500381481,4.519699698,182.5129,gurugram,UP,K
59.09756767,3.681508835,2.832605976,3.570268868,4.726706748,2.933408612,2.984496597,3.217688528,4.656483657,108.7008,GandthiNagar,Gujrat,D
53.69884335,3.286614582,2.495956297,3.532914212,3.002166814,3.769493698,4.028778954,2.807611316,2.578722495,198.8922,GandthiNagar,Gujrat,M
95.33677175,3.149418622,2.834070864,2.10913419,4.98709067,2.444410535,3.803552355,2.01904355,3.533280435,117.1834,GandthiNagar,Gujrat,A
61.46275216,3.524414808,3.019470809,2.889553514,2.47993408,2.162968841,4.955137791,3.94390698,4.71498764,185.3191,Delhi,Delhi(UP),M
62.8910184,3.331965087,2.812189093,2.191900388,2.883144627,3.465071566,4.186895352,3.816644795,3.448133793,168.1707,Mumbai,Maharashtra,I
65.40421766,3.10461745,4.044343394,4.771477401,2.309091464,3.191045869,3.506088443,2.840754418,2.009247108,164.0233,Pune,Maharashtra,N
93.79711295,3.678197577,4.046906949,2.449537645,4.401593066,4.897549364,3.342570269,3.742576373,3.235358745,99.7238,Mumbai,Maharashtra,J
56.84987945,3.998672445,4.853328043,4.48197882,3.657612842,4.614001892,4.108066042,3.597003082,3.53337199,128.4082,Pune,Maharashtra,M
79.90661336,3.106891079,4.759849849,3.063692129,3.306039613,2.023163549,3.207708975,4.140385144,2.900357067,143.2035,Pune,Maharashtra,E
78.36390271,2.973479415,3.25879696,3.398785363,2.713126011,3.405835139,3.725821711,2.15601062,2.441297647,146.5957,Mumbai,Maharashtra,E
92.30323191,2.514282662,2.018860439,2.117831965,2.210211493,3.909665212,2.354319895,2.47215186,2.021515549,67.1255,Mumbai,Maharashtra,O
61.00497452,3.448118534,3.729300821,4.389873959,2.560136723,4.749687185,2.002288888,3.513687551,3.473036897,66.2740,GandthiNagar,Gujrat,J
82.98135319,3.283730583,3.839350566,2.711111789,4.360118412,3.689291055,2.276039918,2.083681753,4.582140568,103.0244,gurugram,UP,E
78.87203589,3.773567919,3.645252846,2.946226386,4.905697806,4.483901486,4.044160283,3.985473189,2.275948363,65.9124,Pune,Maharashtra,H
92.53364666,3.765861995,2.740318003,2.617999817,3.780114139,4.743461409,4.962096011,4.10769982,2.383800775,105.6932,Mumbai,Maharashtra,C
62.17078158,3.655629139,2.655079806,3.563035981,4.061555834,3.780846583,4.509994812,2.566270943,3.452070681,132.3634,gurugram,UP,G
52.52388073,3.198583941,4.594134342,2.773644215,2.942655721,3.321604053,3.164220099,3.286812952,3.702566607,195.2162,gurugram,UP,B
65.27756584,3.439008759,3.375988037,2.399822993,4.088473159,2.339762566,3.158360546,4.912839137,3.734794153,160.4480,Delhi,Delhi(UP),H
55.7206946,3.535111545,4.787224952,3.366924039,4.614185003,3.627582629,2.263863033,2.998962371,4.339152196,81.3623,Pune,Maharashtra,E
82.82570879,3.971449934,4.123081149,4.751701407,3.508560442,4.874111148,4.510177923,2.980468154,3.203680532,109.8956,gurugram,UP,A
